,3LargestGFA,ListOfAllPropertyUseTypes,FirstUseType,SecondLargestPropertyUseType,YearBuilt,NumberofFloors,NumberofBuildings,Latitude,Longitude,Neighborhood,SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu)
1565,26389.0,"Fitness Center/Health Club/Gym, Office",Small- and Mid-Sized Office,Fitness Center/Health Club/Gym,1992,3,1.0,47.65018,-122.37787,MAGNOLIA / QUEEN ANNE,1208035.375,1208035.0,0.0,0.0
1566,29859.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1982,3,1.0,47.65252,-122.37587,MAGNOLIA / QUEEN ANNE,858780.625,665707.0,193073.0,0.0
1567,25600.0,"Non-Refrigerated Warehouse, Office",Warehouse,Office,1974,1,1.0,47.66238,-122.38831,MAGNOLIA / QUEEN ANNE,1730600.625,1249609.0,480992.0,0.0
1568,10200.0,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,,1965,1,1.0,47.66126,-122.38751,MAGNOLIA / QUEEN ANNE,222255.9063,222256.0,0.0,0.0
1569,41784.0,"Office, Parking",Small- and Mid-Sized Office,Parking,2008,4,1.0,47.66106,-122.38576,MAGNOLIA / QUEEN ANNE,1294615.25,1294615.0,0.0,0.0
1570,56884.0,Non-Refrigerated Warehouse,Warehouse,,1960,1,1.0,47.66206,-122.38948,MAGNOLIA / QUEEN ANNE,1388345.125,785464.0,602881.0,0.0
1573,32810.0,Retail Store,Retail Store,,1989,1,1.0,47.6917,-122.37617,BALLARD,2017967.75,1316268.0,701700.0,0.0
1576,30989.0,Self-Storage Facility,Self-Storage Facility,,1980,3,1.0,47.64455,-122.37581,MAGNOLIA / QUEEN ANNE,97690.39844,97690.0,0.0,0.0
1577,39952.0,Self-Storage Facility,Self-Storage Facility,,1915,3,1.0,47.64418,-122.37587,MAGNOLIA / QUEEN ANNE,57133.19922,57133.0,0.0,0.0
1581,20784.0,Office,Small- and Mid-Sized Office,,1961,2,1.0,47.65504,-122.37402,MAGNOLIA / QUEEN ANNE,657385.8125,657386.0,0.0,0.0
1582,35429.0,"Distribution Center, Non-Refrigerated Warehouse",Distribution Center,Non-Refrigerated Warehouse,1960,2,1.0,47.65563,-122.37194,MAGNOLIA / QUEEN ANNE,520011.8125,277628.0,242384.0,0.0
1583,35946.0,"Distribution Center, Office",Distribution Center,Office,1968,1,1.0,47.66161,-122.39075,MAGNOLIA / QUEEN ANNE,469499.8125,300259.0,169240.0,0.0
1584,30152.0,"Office, Parking",Small- and Mid-Sized Office,Parking,2007,4,1.0,47.66006,-122.38631,MAGNOLIA / QUEEN ANNE,845044.125,844068.0,976.0,0.0
1585,21617.0,Office,Small- and Mid-Sized Office,,1979,4,1.0,47.65881,-122.38382,MAGNOLIA / QUEEN ANNE,727385.8125,727386.0,0.0,0.0
1586,30172.0,Office,Small- and Mid-Sized Office,,1994,4,1.0,47.65801,-122.3839,MAGNOLIA / QUEEN ANNE,904059.875,904060.0,0.0,0.0
1590,47591.0,"Non-Refrigerated Warehouse, Retail Store",Warehouse,Retail Store,1927,4,1.0,47.66353,-122.38064,BALLARD,241478.5938,241478.0,0.0,0.0
1591,21208.0,"Office, Restaurant, Retail Store",Small- and Mid-Sized Office,Restaurant,1901,4,1.0,47.66691,-122.38416,BALLARD,1121537.75,1121537.0,0.0,0.0
