,3LargestGFA,ListOfAllPropertyUseTypes,FirstUseType,SecondLargestPropertyUseType,YearBuilt,NumberofFloors,NumberofBuildings,Latitude,Longitude,Neighborhood,SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu)
0,88434.0,Hotel,Hotel,,1927,12,1.0,47.6122,-122.33799,DOWNTOWN,7226362.5,3946027.0,1276453.0,2003882.0
1,103566.0,"Hotel, Parking, Restaurant",Hotel,Parking,1996,11,1.0,47.61317,-122.33393,DOWNTOWN,8387933.0,3242851.0,5145082.0,0.0
2,756493.0,Hotel,Hotel,,1969,41,1.0,47.61393,-122.3381,DOWNTOWN,72587024.0,49526664.0,1493800.0,21566554.0
3,61320.0,Hotel,Hotel,,1926,10,1.0,47.61412,-122.33664,DOWNTOWN,6794584.0,2768924.0,1811213.0,2214446.25
4,191454.0,"Hotel, Parking, Swimming Pool",Hotel,Parking,1980,18,1.0,47.61375,-122.34047,DOWNTOWN,14172606.0,5368607.0,8803998.0,0.0
5,88830.0,Police Station,Police Station,,1999,2,1.0,47.61623,-122.33657,DOWNTOWN,12086616.0,7371434.0,4715182.0,0.0
6,81352.0,Hotel,Hotel,,1926,11,1.0,47.6139,-122.33283,DOWNTOWN,5758795.0,2811215.0,2947580.0,0.0
7,102761.0,Other - Entertainment/Public Assembly,Other,,1926,8,1.0,47.61327,-122.33136,DOWNTOWN,6298131.5,3636655.0,385189.0,2276286.5
8,163984.0,Hotel,Hotel,,1904,15,1.0,47.60294,-122.33263,DOWNTOWN,13723820.0,7297919.0,6425900.0,0.0
10,133884.0,Hotel,Hotel,,1969,11,1.0,47.60695,-122.33414,DOWNTOWN,16016644.0,6187627.0,4591850.0,5237165.5
11,336640.0,Hotel,Hotel,,1998,25,1.0,47.60713,-122.33323,DOWNTOWN,26941110.0,18083049.0,2858700.0,5999360.5
12,65009.0,Hotel,Hotel,,1928,9,1.0,47.60699,-122.33346,DOWNTOWN,6596057.5,1343000.0,3596705.0,1656352.5
13,353111.0,"Hotel, Parking",Hotel,Parking,1980,33,1.0,47.60809,-122.33212,DOWNTOWN,22325364.0,13904183.0,4083440.0,4337738.5
14,92590.0,"Hotel, Parking",Hotel,Parking,1922,11,1.0,47.60755,-122.33244,DOWNTOWN,10750010.0,3832369.0,2046793.0,4870847.5
15,414987.0,"Data Center, Library, Parking",Library,Parking,2004,11,1.0,47.60649,-122.33297,DOWNTOWN,18588860.0,17851297.0,0.0,737559.5
16,130000.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,1930,6,1.0,47.60546,-122.33279,DOWNTOWN,9956396.0,4453868.0,910180.0,4592347.5
17,433329.0,"Hotel, Parking",Hotel,Parking,1983,28,1.0,47.60681,-122.33078,DOWNTOWN,33556756.0,21225277.0,12331475.0,0.0
18,41688.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Mixed Use Property,Restaurant,1907,5,1.0,47.60515,-122.33159,DOWNTOWN,7606084.5,3764791.0,2065091.0,1776201.875
19,104352.0,Hotel,Hotel,,1916,10,1.0,47.60376,-122.33194,DOWNTOWN,10154608.0,5908370.0,815376.0,3430862.0
20,537150.0,Courthouse,Courthouse,,1916,10,1.0,47.60265,-122.33051,DOWNTOWN,44984468.0,24357833.0,20626631.0,0.0
21,385274.0,Other,Other,,1985,19,1.0,47.60378,-122.32842,DOWNTOWN,47859812.0,18257661.0,29602150.0,0.0
22,58916.0,K-12 School,K-12 School,,1961,2,1.0,47.54576,-122.26853,SOUTHEAST,1539478.5,936955.0,602523.0,0.0
23,88592.0,"Hotel, Parking",Hotel,Parking,2001,6,1.0,47.65959,-122.31755,NORTHEAST,3663534.5,2266231.0,1397303.0,0.0
24,125000.0,College/University,University,,1928,7,1.0,47.61816,-122.33629,DOWNTOWN,11343686.0,4647474.0,6696211.0,0.0
25,67224.0,Automobile Dealership,Automobile Dealership,,1930,2,1.0,47.615,-122.33081,DOWNTOWN,1310236.625,1310236.0,0.0,0.0
26,159176.0,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,1991,8,1.0,47.61301,-122.32929,EAST,5328051.5,572307.0,4755745.0,0.0
27,128909.0,Hotel,Hotel,,2001,10,1.0,47.61784,-122.32966,DOWNTOWN,11061916.0,5610706.0,5451210.0,0.0
29,47994.0,Hotel,Hotel,,1978,5,1.0,47.61558,-122.34186,DOWNTOWN,4456714.5,2346349.0,2110365.0,0.0
30,164229.0,K-12 School,K-12 School,,1949,2,1.0,47.70994,-122.29301,NORTH,6779173.0,1947601.0,4831572.0,0.0
31,55166.0,K-12 School,K-12 School,,1989,2,1.0,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,1496816.0,1496816.0,0.0,0.0
32,63403.0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Small- and Mid-Sized Office,K-12 School,1906,3,1.0,47.6641,-122.33118,LAKE UNION,4145920.5,1352843.0,2793077.0,0.0
33,81871.0,Hotel,Hotel,,1994,4,1.0,47.66583,-122.29965,NORTHEAST,6668568.5,3016399.0,3652169.0,0.0
34,26225.0,Self-Storage Facility,Self-Storage Facility,,1955,2,1.0,47.66172,-122.29598,NORTHEAST,318364.8125,281265.0,37100.0,0.0
35,1856706.0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Mixed Use Property,Laboratory,1992,3,1.0,47.53493,-122.31788,GREATER DUWAMISH,448385312.0,150476283.0,297909000.0,0.0
36,963000.0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Warehouse,Refrigerated Warehouse,1961,2,3.0,47.51138,-122.28875,GREATER DUWAMISH,44731160.0,44731153.0,0.0,0.0
37,54986.0,K-12 School,K-12 School,,1990,2,1.0,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,1650279.25,1217589.0,432690.0,0.0
38,182861.0,K-12 School,K-12 School,,1950,2,1.0,47.68252,-122.29498,NORTHEAST,6399127.5,1599684.0,4799443.0,0.0
39,94900.0,"Non-Refrigerated Warehouse, Office",Small- and Mid-Sized Office,Non-Refrigerated Warehouse,1961,2,1.0,47.66587,-122.38476,BALLARD,6186461.5,4291585.0,1894876.0,0.0
40,58878.0,"Office, Other - Education",Small- and Mid-Sized Office,Other - Education,1900,2,1.0,47.58034,-122.31132,GREATER DUWAMISH,2951331.25,1579749.0,1371582.0,0.0
41,175015.0,K-12 School,K-12 School,,1954,3,1.0,47.68891,-122.33553,NORTHWEST,6994740.5,2679739.0,4315001.0,0.0
42,70495.0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,1911,3,1.0,47.61351,-122.35129,DOWNTOWN,2158629.0,1500229.0,658400.0,0.0
43,348630.0,Hotel,Hotel,,1969,24,1.0,47.60946,-122.33337,DOWNTOWN,16163194.0,12204406.0,3958787.0,0.0
44,169531.0,"Data Center, Office, Retail Store",Large Office,Retail Store,1973,5,1.0,47.6113,-122.33659,DOWNTOWN,9536161.0,9536160.0,0.0,0.0
45,57428.0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other,"Personal Services (Health/Beauty, Dry Cleaning, etc)",1920,2,1.0,47.61076,-122.33765,DOWNTOWN,1247362.0,714939.0,532423.0,0.0
46,39940.0,"Office, Retail Store",Small- and Mid-Sized Office,Retail Store,1910,8,1.0,47.61048,-122.33794,DOWNTOWN,5071974.0,5071973.0,0.0,0.0
47,52459.0,"Office, Other - Entertainment/Public Assembly, Restaurant",Mixed Use Property,Restaurant,1926,2,1.0,47.60886,-122.33744,DOWNTOWN,15026196.0,4632459.0,10393737.0,0.0
48,98634.0,"Hotel, Parking, Restaurant",Hotel,Parking,1930,20,1.0,47.61233,-122.33432,DOWNTOWN,4841347.5,4290059.0,551288.0,0.0
49,1111880.0,"Hotel, Parking, Swimming Pool",Hotel,Parking,1982,34,1.0,47.61087,-122.33339,DOWNTOWN,80469216.0,45545529.0,23324992.0,11598686.0
50,64674.0,"Hotel, Parking, Restaurant, Retail Store",Hotel,Parking,1985,7,1.0,47.60997,-122.34138,DOWNTOWN,5348309.0,3243900.0,2104408.0,0.0
51,122810.0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,Other - Entertainment/Public Assembly,1908,7,1.0,47.61155,-122.34114,DOWNTOWN,5401277.5,1293561.0,4107716.0,0.0
52,113173.0,"Hotel, Parking",Hotel,Parking,1959,5,1.0,47.61986,-122.34413,LAKE UNION,5284343.5,2944680.0,2339663.0,0.0
53,110547.0,Hotel,Hotel,Restaurant,2000,7,1.0,47.62001,-122.34274,LAKE UNION,6715187.0,3396109.0,3319078.0,0.0
54,116790.0,Hotel,Hotel,Parking,1997,6,1.0,47.62025,-122.34314,LAKE UNION,5827595.5,3188457.0,2639138.0,0.0
55,155602.0,Hotel,Hotel,,1998,6,1.0,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,6836900.0,4558937.0,2277962.0,0.0
56,56072.0,K-12 School,K-12 School,,1911,3,1.0,47.63442,-122.30793,EAST,3234787.75,551867.0,2682920.0,0.0
57,122942.0,"Hotel, Parking",Hotel,Parking,1999,4,1.0,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,5337334.0,2423730.0,2913604.0,0.0
58,54984.0,Office,Small- and Mid-Sized Office,,1962,2,1.0,47.60823,-122.30956,CENTRAL,3375211.0,1978230.0,1396981.0,0.0
59,296313.0,"Parking, Senior Care Community",Senior Care Community,Parking,1922,5,1.0,47.55837,-122.37751,SOUTHWEST,42792072.0,11824772.0,30967300.0,0.0
60,93397.0,Senior Care Community,Senior Care Community,,1970,2,1.0,47.72426,-122.35599,NORTHWEST,16402563.0,5679498.0,10723064.0,0.0
61,84103.0,"Hotel, Parking",Hotel,Parking,2008,6,1.0,47.61988,-122.33211,LAKE UNION,3706100.25,2812688.0,893412.0,0.0
62,65568.0,K-12 School,K-12 School,,1948,2,1.0,47.5097,-122.37759,SOUTHWEST,600813.0,600813.0,0.0,0.0
63,179014.0,Medical Office,Medical Office,,1965,3,1.0,47.61244,-122.3214,EAST,16701055.0,9886484.0,6814570.0,0.0
64,76631.0,Hotel,Hotel,,1908,7,1.0,47.60898,-122.32693,EAST,7258758.5,2660742.0,4598016.0,0.0
65,78062.0,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Mixed Use Property,Parking,1983,6,1.0,47.60845,-122.32637,EAST,15473117.0,10145313.0,0.0,5327802.5
66,72072.0,Retail Store,Retail Store,,1929,2,1.0,47.62237,-122.33805,LAKE UNION,1049748.625,361803.0,687945.0,0.0
67,427691.0,"Office, Other, Parking, Retail Store",Large Office,Parking,2010,5,1.0,47.62424,-122.33646,LAKE UNION,13795954.0,12871091.0,924861.0,0.0
68,287325.0,"Hotel, Parking",Hotel,Parking,1990,7,1.0,47.62642,-122.33325,LAKE UNION,19459304.0,10980652.0,8478651.0,0.0
69,368000.0,Other,Other,,1962,1,1.0,47.62208,-122.35398,MAGNOLIA / QUEEN ANNE,23658978.0,14419146.0,688680.0,6093150.0
70,65000.0,Other,Other,,1962,1,1.0,47.62208,-122.35398,MAGNOLIA / QUEEN ANNE,8141155.5,3754115.0,0.0,4120130.0
71,278500.0,Other,Other,,1938,5,1.0,47.62208,-122.35398,MAGNOLIA / QUEEN ANNE,20955026.0,7252325.0,0.0,9763690.0
72,935703.0,"Office, Other, Parking",Large Office,Parking,2010,12,1.0,47.62112,-122.33629,LAKE UNION,39605888.0,32206199.0,7399685.0,0.0
73,52000.0,Other,Other,,1962,2,1.0,47.62395,-122.35077,MAGNOLIA / QUEEN ANNE,2726369.0,1293349.0,0.0,1202380.0
74,108000.0,Other,Other,,1928,1,1.0,47.62395,-122.35077,MAGNOLIA / QUEEN ANNE,875943.3125,875943.0,0.0,0.0
75,296000.0,Other,Other,,1928,2,1.0,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,20723248.0,13512686.0,0.0,5137220.0
76,55632.0,"Data Center, Distribution Center, Office, Parking, Retail Store",Small- and Mid-Sized Office,Data Center,1986,2,1.0,47.62391,-122.34837,MAGNOLIA / QUEEN ANNE,4166306.25,4166305.0,0.0,0.0
77,920598.0,"Office, Other, Parking",Large Office,Parking,2010,6,1.0,47.62419,-122.34443,MAGNOLIA / QUEEN ANNE,36667044.0,27597261.0,9069780.0,0.0
78,72406.0,"Office, Other, Parking",Small- and Mid-Sized Office,Parking,1970,4,1.0,47.62053,-122.35842,MAGNOLIA / QUEEN ANNE,3476212.5,2944692.0,531520.0,0.0
79,96910.0,"Hotel, Parking",Hotel,Parking,2002,6,1.0,47.62291,-122.35708,MAGNOLIA / QUEEN ANNE,5155568.5,2637011.0,2518558.0,0.0
80,50017.0,"Hotel, Swimming Pool",Hotel,Swimming Pool,1962,4,2.0,47.65772,-122.31756,NORTHEAST,5448975.0,2128306.0,3320669.0,0.0
81,75364.0,K-12 School,K-12 School,,1999,3,1.0,47.5636,-122.358,DELRIDGE,1698176.0,1698176.0,0.0,0.0
82,67743.0,K-12 School,K-12 School,,1923,3,1.0,47.62548,-122.30828,EAST,2646879.0,1337786.0,1309093.0,0.0
83,194104.0,K-12 School,K-12 School,,1908,6,1.0,47.62644,-122.30429,EAST,6219841.5,1887893.0,4331949.0,0.0
84,99433.0,"Office, Parking",Small- and Mid-Sized Office,Parking,2003,3,1.0,47.58408,-122.30125,SOUTHEAST,4897760.0,4897760.0,0.0,0.0
85,60725.0,K-12 School,K-12 School,,1991,2,1.0,47.57324,-122.29058,SOUTHEAST,2347138.0,2347138.0,0.0,0.0
86,134446.0,K-12 School,K-12 School,,1957,1,1.0,47.56413,-122.31208,GREATER DUWAMISH,6456026.0,2262820.0,4193207.0,0.0
87,59955.0,K-12 School,K-12 School,,1989,3,1.0,47.55478,-122.27596,SOUTHEAST,1633399.375,1436416.0,196983.0,0.0
88,93218.0,K-12 School,K-12 School,,1964,2,1.0,47.63683,-122.35896,MAGNOLIA / QUEEN ANNE,2887392.0,1486758.0,1400634.0,0.0
89,49000.0,Other,Other,,1941,4,1.0,47.67524,-122.31534,NORTHEAST,6357632.0,6357631.0,0.0,0.0
90,119146.0,"Other, Parking",Other,Parking,1929,2,1.0,47.67559,-122.31769,NORTHEAST,4253577.5,2001103.0,2252474.0,0.0
91,51390.0,"Hotel, Parking",Hotel,Parking,2001,4,1.0,47.73141,-122.3458,NORTHWEST,3611538.0,1398289.0,2213249.0,0.0
92,131909.0,K-12 School,K-12 School,,1963,2,1.0,47.72463,-122.35315,NORTHWEST,3894584.5,1775488.0,2119097.0,0.0
93,245587.0,K-12 School,K-12 School,,1959,1,1.0,47.7257,-122.33684,NORTHWEST,11765682.0,3926011.0,7839670.0,0.0
94,70609.0,Hotel,Hotel,,2002,3,1.0,47.72551,-122.3423,NORTHWEST,3242458.0,1802889.0,1439568.0,0.0
95,66588.0,K-12 School,K-12 School,,1991,3,1.0,47.65464,-122.34912,LAKE UNION,2104286.0,2104286.0,0.0,0.0
96,210031.0,"Hotel, Parking",Hotel,Parking,1904,5,1.0,47.6048,-122.3368,DOWNTOWN,6505995.0,4402910.0,2103084.0,0.0
97,189750.0,Other - Entertainment/Public Assembly,Other,,1998,6,1.0,47.60804,-122.3367,DOWNTOWN,14641502.0,9803021.0,527343.0,4311136.0
98,451526.0,"Hospital (General Medical & Surgical), Parking",Hospital,Parking,1954,5,4.0,47.66737,-122.37956,BALLARD,68090728.0,35237205.0,32853512.0,0.0
99,59097.0,K-12 School,K-12 School,,1991,2,1.0,47.6706,-122.36225,BALLARD,1513570.75,1513571.0,0.0,0.0
100,71974.0,"Office, Other",Other,Office,2006,4,1.0,47.60112,-122.32785,DOWNTOWN,9363374.0,6947270.0,2416104.0,0.0
101,58000.0,Museum,Museum,,1910,4,1.0,47.59809,-122.32283,DOWNTOWN,2010454.625,1311669.0,698785.0,0.0
102,146394.0,"Hotel, Parking",Hotel,Parking,1996,4,1.0,47.62614,-122.3467,MAGNOLIA / QUEEN ANNE,7946961.0,4197462.0,3749499.0,0.0
103,289588.0,K-12 School,K-12 School,,1990,4,1.0,47.57589,-122.29365,SOUTHEAST,8819852.0,6449764.0,2370086.0,0.0
104,64820.0,College/University,University,,1915,3,1.0,47.61495,-122.32177,EAST,3059758.0,1911064.0,1148694.0,0.0
105,483000.0,College/University,University,,1970,2,27.0,47.547,-122.35307,DELRIDGE,38301744.0,25314575.0,12987166.0,0.0
106,97244.0,"Data Center, Office",Small- and Mid-Sized Office,Data Center,2002,2,1.0,47.67828,-122.26456,NORTHEAST,16319835.0,13973696.0,2346137.0,0.0
107,68359.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",,1950,1,1.0,47.59545,-122.32146,GREATER DUWAMISH,7475577.5,4182001.0,3293576.0,0.0
108,254523.0,K-12 School,K-12 School,,2008,3,1.0,47.60598,-122.30156,CENTRAL,13567774.0,7835065.0,5732708.0,0.0
109,78804.0,K-12 School,K-12 School,,2001,3,1.0,47.51482,-122.25864,SOUTHEAST,2499140.0,1645214.0,853926.0,0.0
110,66994.0,K-12 School,K-12 School,,2002,3,1.0,47.61224,-122.29087,CENTRAL,2371304.5,1824845.0,546459.0,0.0
111,98357.0,K-12 School,K-12 School,,2000,3,1.0,47.52915,-122.28904,GREATER DUWAMISH,3456131.5,1927067.0,1529064.0,0.0
112,50765.0,"Office, Other",Small- and Mid-Sized Office,Other,1958,1,1.0,47.53827,-122.28406,GREATER DUWAMISH,4253369.5,3569337.0,684032.0,0.0
114,52611.0,College/University,University,,1980,2,1.0,47.65147,-122.36122,MAGNOLIA / QUEEN ANNE,4116871.5,2479273.0,1637598.0,0.0
116,238550.0,"K-12 School, Parking",K-12 School,Parking,2011,2,1.0,47.70763,-122.29453,NORTH,8355988.5,4789948.0,3566039.0,0.0
117,215922.0,"Courthouse, Other",Other,Courthouse,1971,6,3.0,47.60462,-122.31549,CENTRAL,13071700.0,8155002.0,580172.0,4336524.5
118,62526.0,K-12 School,K-12 School,,2002,3,1.0,47.68725,-122.35996,NORTHWEST,1986094.875,1114389.0,871706.0,0.0
119,250000.0,Other,Other,,2004,11,1.0,47.61598,-122.33448,DOWNTOWN,65336980.0,30651644.0,34685331.0,0.0
120,54015.0,"Non-Refrigerated Warehouse, Office, Other - Services",Small- and Mid-Sized Office,Non-Refrigerated Warehouse,2007,3,1.0,47.536,-122.31768,GREATER DUWAMISH,3242077.75,2657382.0,584696.0,0.0
121,530039.0,"Restaurant, Retail Store",Retail Store,Restaurant,1951,1,1.0,47.70759,-122.3255,NORTH,27717034.0,16224529.0,11492503.0,0.0
122,47012.0,Other/Specialty Hospital,Other,,1964,3,1.0,47.7066,-122.321,NORTH,7265178.0,3344827.0,3920350.0,0.0
123,122000.0,Retail Store,Retail Store,,1965,4,1.0,47.70619,-122.32586,NORTH,8765978.0,8653621.0,112356.0,0.0
124,879000.0,Hospital (General Medical & Surgical),Hospital,,1953,10,6.0,47.66231,-122.28146,NORTHEAST,253832464.0,115641210.0,138191238.0,0.0
125,52665.0,"Financial Office, Medical Office, Parking",Financial Office,Parking,1996,3,1.0,47.70956,-122.3345,NORTHWEST,3191228.25,1859345.0,1331883.0,0.0
126,242795.0,K-12 School,K-12 School,,1999,2,1.0,47.67661,-122.37489,BALLARD,9157150.0,7859464.0,1297685.0,0.0
127,85521.0,Self-Storage Facility,Self-Storage Facility,,1910,5,1.0,47.61233,-122.3171,EAST,1381590.125,482635.0,898955.0,0.0
128,667335.0,College/University,University,,1970,2,11.0,47.69936,-122.33401,NORTHWEST,35891484.0,33450832.0,2440648.0,0.0
129,173185.0,K-12 School,K-12 School,,1952,2,1.0,47.54632,-122.28198,SOUTHEAST,6127771.5,1800727.0,4327044.0,0.0
130,139069.0,K-12 School,K-12 School,,1963,1,1.0,47.54862,-122.36214,DELRIDGE,5499097.0,1864967.0,3634130.0,0.0
131,114297.0,Non-Refrigerated Warehouse,Warehouse,,1904,4,1.0,47.55152,-122.31869,GREATER DUWAMISH,2100097.75,912475.0,1187623.0,0.0
132,184125.0,K-12 School,K-12 School,,1960,2,1.0,47.52407,-122.26586,SOUTHEAST,8800292.0,2999862.0,5800430.0,0.0
133,160270.0,K-12 School,K-12 School,,1959,1,1.0,47.69675,-122.3776,BALLARD,4318917.0,0.0,4318917.0,0.0
134,234144.0,Non-Refrigerated Warehouse,Warehouse,,1937,1,1.0,47.55901,-122.33328,GREATER DUWAMISH,6744317.0,1316817.0,5427500.0,0.0
135,65425.0,Retail Store,Retail Store,,1966,1,1.0,47.52254,-122.36627,DELRIDGE,2944296.25,2613687.0,330609.0,0.0
136,67782.0,Retail Store,Retail Store,,1965,1,1.0,47.52254,-122.36627,DELRIDGE,9230223.0,2624102.0,6606121.0,0.0
137,367884.0,K-12 School,K-12 School,,2010,2,1.0,47.52915,-122.36511,DELRIDGE,12265516.0,8205020.0,4060496.0,0.0
138,46797.0,K-12 School,K-12 School,,1958,1,1.0,47.51778,-122.37074,DELRIDGE,2075891.0,797204.0,1278687.0,0.0
139,136188.0,K-12 School,K-12 School,,1963,3,1.0,47.59796,-122.30415,CENTRAL,3217877.0,0.0,3217877.0,0.0
140,56000.0,Other,Other,,1973,3,1.0,47.67767,-122.39631,BALLARD,1851260.5,844864.0,1006396.0,0.0
141,67371.0,K-12 School,K-12 School,,2004,2,1.0,47.54174,-122.27691,SOUTHEAST,2128459.0,1445339.0,683120.0,0.0
142,52088.0,Self-Storage Facility,Self-Storage Facility,,1969,2,1.0,47.54508,-122.37737,SOUTHWEST,1377519.5,523765.0,853755.0,0.0
143,127776.0,K-12 School,K-12 School,,2010,3,1.0,47.65708,-122.33803,LAKE UNION,4748137.0,3729930.0,1018207.0,0.0
144,153920.0,"Hotel, Parking, Swimming Pool",Hotel,Parking,1998,5,1.0,47.62972,-122.32906,LAKE UNION,9373179.0,4079217.0,5293961.0,0.0
145,43000.0,Museum,Museum,,1900,1,1.0,47.62759,-122.33661,LAKE UNION,7548807.0,3797924.0,3750882.0,0.0
146,52075.0,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Warehouse,Residence Hall/Dormitory,1926,2,1.0,47.62591,-122.34084,MAGNOLIA / QUEEN ANNE,430473.6875,430474.0,0.0,0.0
147,141591.0,Hotel,Hotel,,1998,7,1.0,47.62782,-122.34045,MAGNOLIA / QUEEN ANNE,11171988.0,5530787.0,5641200.0,0.0
148,67235.0,K-12 School,K-12 School,,1999,2,1.0,47.68359,-122.37308,BALLARD,2284133.75,1564728.0,719406.0,0.0
149,102699.0,"Data Center, Distribution Center, Office, Other, Parking",Small- and Mid-Sized Office,Distribution Center,1957,2,1.0,47.70044,-122.34136,NORTHWEST,9472358.0,7093984.0,2378373.0,0.0
150,59014.0,K-12 School,K-12 School,,1991,3,1.0,47.54025,-122.3885,SOUTHWEST,1407277.25,1158457.0,248820.0,0.0
151,64893.0,Hotel,Hotel,,1968,4,1.0,47.70916,-122.33216,NORTHWEST,6197825.0,2620548.0,3577277.0,0.0
153,70762.0,K-12 School,K-12 School,,1925,1,1.0,47.53809,-122.29591,GREATER DUWAMISH,3606416.0,491106.0,3115310.0,0.0
154,44558.0,"Office, Restaurant, Self-Storage Facility",Small- and Mid-Sized Office,Self-Storage Facility,1900,3,1.0,47.60105,-122.33518,DOWNTOWN,1677002.25,1317637.0,359365.0,0.0
155,1585960.0,"Other - Entertainment/Public Assembly, Parking",Other,Parking,1999,6,1.0,47.59544,-122.33159,GREATER DUWAMISH,59757440.0,49439914.0,10317518.0,0.0
156,180340.0,"Data Center, Distribution Center, Office, Other",Distribution Center,Office,1924,2,1.0,47.57199,-122.32811,GREATER DUWAMISH,9436408.0,8772104.0,664302.0,0.0
157,69099.0,"Non-Refrigerated Warehouse, Office, Other, Other - Services",Warehouse,Other - Services,1965,2,1.0,47.57199,-122.32811,GREATER DUWAMISH,3928695.25,3928695.0,0.0,0.0
158,1172127.0,Other - Entertainment/Public Assembly,Other,,1999,3,1.0,47.59085,-122.33354,GREATER DUWAMISH,58761304.0,40622381.0,18138920.0,0.0
159,164822.0,"Food Service, Hotel, Parking",Hotel,Parking,2005,9,1.0,47.59269,-122.33372,GREATER DUWAMISH,12726789.0,6232233.0,6494555.0,0.0
160,79600.0,Non-Refrigerated Warehouse,Warehouse,,1916,4,1.0,47.57507,-122.35747,GREATER DUWAMISH,2411402.25,2411402.0,0.0,0.0
161,241066.0,K-12 School,K-12 School,,1997,4,1.0,47.65996,-122.33962,LAKE UNION,7791957.0,3096316.0,4695641.0,0.0
162,330713.0,"Laboratory, Non-Refrigerated Warehouse, Office, Other - Utility",Large Office,Laboratory,1980,2,14.0,47.52429,-122.31234,GREATER DUWAMISH,53466684.0,45321378.0,8145300.0,0.0
163,413676.0,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",Parking,Movie Theater,2008,6,1.0,47.70281,-122.32532,NORTH,9134963.0,6995246.0,2139716.0,0.0
166,983992.0,"Hotel, Other, Parking, Restaurant, Retail Store",Hotel,Parking,1999,0,1.0,47.61275,-122.3333,DOWNTOWN,65047284.0,39364114.0,25683162.0,0.0
167,650222.0,"Hospital (General Medical & Surgical), Parking",Hospital,Parking,1990,5,6.0,47.60705,-122.30966,CENTRAL,143423024.0,58754927.0,84668094.0,0.0
168,71714.0,K-12 School,K-12 School,,1999,1,1.0,47.52518,-122.34828,DELRIDGE,2371358.0,1944216.0,427142.0,0.0
169,75397.0,"Non-Refrigerated Warehouse, Parking",Warehouse,Parking,1991,3,1.0,47.65097,-122.34227,LAKE UNION,549181.375,423381.0,125800.0,0.0
170,1737833.0,"Hospital (General Medical & Surgical), Parking",Hospital,Parking,2000,8,9.0,47.60399,-122.32377,EAST,293090784.0,168683602.0,1832129.0,122575032.0
171,98581.0,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",Senior Care Community,Medical Office,1999,5,1.0,47.59626,-122.3218,DOWNTOWN,10105379.0,7428816.0,2676561.0,0.0
172,208981.0,K-12 School,K-12 School,,2002,2,1.0,47.57678,-122.38459,SOUTHWEST,8164853.0,4894851.0,3270002.0,0.0
174,55500.0,K-12 School,K-12 School,,1928,2,1.0,47.66568,-122.31368,NORTHEAST,1377627.0,6138.0,1371489.0,0.0
175,106860.0,Hotel,Hotel,,1931,16,1.0,47.66151,-122.31457,NORTHEAST,11935719.0,3561742.0,8373976.0,0.0
176,50759.0,"Office, Restaurant",Small- and Mid-Sized Office,Restaurant,1972,5,1.0,47.71895,-122.29475,NORTH,3147042.0,2558533.0,588509.0,0.0
177,56772.0,Worship Facility,Worship Facility,,1952,2,1.0,47.66182,-122.31113,NORTHEAST,2439484.75,975113.0,1464372.0,0.0
178,103000.0,Worship Facility,Worship Facility,,1952,3,1.0,47.6626,-122.31164,NORTHEAST,4854429.5,2338435.0,2515995.0,0.0
179,269297.0,K-12 School,K-12 School,,2006,3,1.0,47.67723,-122.31281,NORTHEAST,10498344.0,7203965.0,3294379.0,0.0
180,75174.0,K-12 School,K-12 School,,2001,3,1.0,47.67184,-122.29221,NORTHEAST,2733846.0,1589543.0,1144302.0,0.0
181,75214.0,K-12 School,K-12 School,,2003,3,1.0,47.64052,-122.3656,MAGNOLIA / QUEEN ANNE,2334260.0,1733685.0,600575.0,0.0
182,134918.0,K-12 School,K-12 School,,2005,3,1.0,47.57298,-122.39028,SOUTHWEST,3822102.5,2895105.0,926998.0,0.0
183,65310.0,K-12 School,K-12 School,,1991,2,1.0,47.59096,-122.29985,CENTRAL,2295176.5,2295176.0,0.0,0.0
184,92437.0,K-12 School,K-12 School,,1927,3,1.0,47.67725,-122.32232,NORTHWEST,4626443.0,967866.0,3658577.0,0.0
